Startup received!

I ,time,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,97977 | Motors started.
M ,167972,873,248,873.0,248.0,923,100,1532,1400
I ,167984,2,3,1,3,0,3,1,3,-0.1365,0.6453,0.2411,0.7118,-0.1354,-0.1234,-0.0302,-0.9826,10.97,-0.43,-5.8,7.88,-3.51,11.68
F ,167984,73
L ,167984,106
M ,167984,873,248,873.0,248.0,923,100,1532,1400
I ,168012,2,3,1,3,0,3,1,3,-0.1823,0.6149,0.2766,0.7155,-0.0943,-0.1108,-0.0317,-0.9888,10.18,0.36,-4.94,7.4,-3.33,10.3
F ,168012,61
I ,168034,2,3,1,3,0,3,1,3,-0.2105,0.5946,0.2927,0.7185,-0.0435,-0.087,-0.0308,-0.9947,9.47,0.93,-4.09,6.9,-3.0,8.89
F ,168034,67
L ,168034,106
M ,168034,873,248,8958.0,-9220.0,59902,57561,6147,49152
F ,168044,64
L ,168044,106
M ,168044,873,248,873.0,248.0,60700,18943,23805,13823
F ,168072,73
L ,168072,107
M ,168072,873,248,873.0,248.0,923,100,1532,1400
I ,168084,2,3,1,3,0,3,1,3,-0.2736,0.5482,0.3058,0.7286,0.0164,-0.0516,-0.0089,-0.9984,9.35,0.73,-2.69,7.73,-3.07,9.27
F ,168084,81
L ,168084,107
M ,168084,873,248,873.0,248.0,923,100,1532,1400
I ,168093,2,3,1,3,0,3,1,3,-0.2847,0.5403,0.3043,0.731,0.0164,-0.0516,-0.0089,-0.9984,9.18,0.34,-2.34,9.28,-3.63,11.53
M ,168093,873,248,873.0,248.0,768,769,1012,29716
F ,168104,78
L ,168104,107
F ,168122,2633
F ,168134,72
F ,168154,64
L ,168154,259
I ,168184,2,3,1,3,0,3,1,3,-0.3833,0.4768,0.4703,0.305,0.7285,0.1239,0.0112,0.0524,-99.08,8.18,1.0,-0.02,11.27,-1.12
F ,168193,73
L ,168193,107
M ,168193,873,248,873.0,248.0,923,100,1532,1400
I ,168212,2,3,1,3,3,0,3,1,0.1007,-2.8911,-0.3572,0.7964,0.2822,1.28,-1.9198,-2.0007,-304.61,266.23,220.15,-322.52,38.39,-225.26
M ,168222,873,248,873.0,248.0,923,100,1532,1400
F ,168234,63
L ,168234,107
M ,168234,873,248,873.0,248.0,923,100,1532,1400
F ,168237,2
M ,168245,873,248,873.0,248.0,923,100,1532,1400
I ,168254,2,3,1,3,0,3,1,3,-0.4454,0.4512,0.3196,0.7041,0.2043,0.0196,0.084,-0.975,7.59,-2.15,-1.2,9.64,1.27,4.03
F ,168254,63
L ,168254,107
M ,168254,873,248,873.0,248.0,923,100,1532,1400
I ,168261,2,3,1,3,0,3,1,3,-0.4534,0.4484,0.3248,0.6983,0.2043,0.0196,0.084,-0.975,6.38,-1.36,-0.88,10.06,1.34,4.55
F ,168261,63
L ,168261,107
M ,168261,873,247,873.0,247.0,923,100,1532,1400
I ,168272,3,3,1,3,0,3,1,3,-0.4612,0.4459,0.3311,0.6918,0.2154,0.0186,0.0856,-0.9725,6.32,-1.28,-0.68,10.5,0.91,5.38
F ,168272,64
L ,168272,107
F ,168277,57
I ,168285,3,3,1,3,0,3,1,3,-0.4686,0.4435,0.3382,0.6849,0.2378,0.0152,0.0874,-0.9672,6.4,-1.05,-1.46,10.43,0.79,5.5
I ,168294,3,3,1,3,0,3,1,3,-0.4756,0.4414,0.3461,0.6775,0.2378,0.0152,0.0874,-0.9672,6.07,-0.05,-2.3,10.22,1.46,5.4
F ,168294,78
L ,168294,106
I ,168304,3,3,1,3,0,3,1,3,-0.4821,0.4397,0.3544,0.6697,0.2612,0.0116,0.0875,-0.9612,7.09,0.76,-2.66,9.11,2.02,4.15
F ,168304,130
L ,168304,106
I ,168311,3,3,1,3,0,3,1,3,-0.488,0.4382,0.3627,0.6618,0.2612,0.0116,0.0875,-0.9612,7.88,-0.33,-4.19,0.15,-15.35,-6.63
F ,168311,197
L ,168311,106
I ,168322,3,3,1,3,0,3,1,3,-0.4934,0.4372,0.3709,0.6539,0.2731,0.0101,0.0866,-0.958,4.4,1.55,-2.44,0.05,7.34,-0.93
F ,168322,297
L ,168322,108
I ,168334,3,3,1,3,0,3,1,3,-0.4981,0.4371,0.3789,0.6458,0.2985,0.0044,0.0616,-0.9523,8.71,-0.18,3.19,-3.85,14.14,0.02
F ,168334,400
L ,168334,107
I ,168344,3,3,1,3,0,3,1,3,-0.5028,0.4367,0.3889,0.6364,0.3079,-0.0028,0.0463,-0.9502,15.82,-4.92,0.05,-4.86,13.15,5.26
F ,168344,454
L ,168344,107
I ,168354,3,3,1,3,0,3,1,3,-0.5093,0.432,0.4003,0.6273,0.3159,-0.0142,0.0341,-0.948,19.6,-0.02,-0.11,4.94,23.35,14.68
F ,168354,528
L ,168354,107
F ,168372,610
L ,168377,107
I ,168384,3,3,1,3,0,3,1,3,-0.5265,0.4144,0.4299,0.6051,0.3259,-0.0659,0.023,-0.9428,9.86,17.89,14.42,12.06,19.69,22.93
F ,168384,624
I ,168394,3,3,1,3,0,3,1,3,-0.525,0.419,0.4342,0.6,0.3244,-0.0818,0.0239,-0.942,12.4,12.14,7.25,8.77,-6.05,15.72
F ,168394,628
L ,168394,107
I ,168404,3,3,1,3,0,3,1,3,-0.5213,0.4263,0.4359,0.5969,0.3237,-0.096,0.0276,-0.9408,20.29,7.09,-5.26,7.9,-9.38,18.12
F ,168404,631
L ,168404,106
I ,168411,3,3,1,3,0,3,1,3,-0.5171,0.434,0.4353,0.5955,0.3237,-0.096,0.0276,-0.9408,11.92,-8.47,-2.25,7.9,-9.38,18.12
F ,168411,632
L ,168411,107
L ,168417,107
I ,168422,3,3,1,3,0,3,1,3,-0.513,0.4415,0.4352,0.5936,0.3234,-0.1069,0.0291,-0.9396,15.55,-6.34,-9.17,10.81,-13.27,16.56
F ,168422,631
I ,168434,3,3,1,3,0,3,1,3,-0.5101,0.4475,0.4345,0.5921,0.3236,-0.1166,0.0244,-0.9386,9.1,-16.68,-6.11,3.5,-2.16,11.22
F ,168434,630
L ,168434,106
I ,168444,3,3,1,3,0,3,1,3,-0.5084,0.4518,0.4372,0.5882,0.3235,-0.119,0.0205,-0.9384,6.71,-12.59,-8.84,5.71,-1.71,13.02
F ,168444,627
L ,168444,107
I ,168454,3,3,1,3,0,3,1,3,-0.5086,0.4533,0.4418,0.5835,0.3231,-0.1196,0.0161,-0.9385,6.78,-6.65,-3.29,2.41,-2.79,9.82
F ,168454,620
L ,168454,107
F ,168457,617
L ,168457,107
I ,168461,3,3,1,3,0,3,1,3,-0.5087,0.4543,0.4472,0.5785,0.3231,-0.1196,0.0161,-0.9385,9.34,-0.95,301.71,220.2,-286.72,307.18
F ,168471,606
L ,168472,107
L ,168477,107
I ,168484,3,3,1,3,0,3,1,3,-0.5083,0.4575,0.4549,0.5703,0.3227,-0.1219,0.0033,-0.9385,13.01,0.37,-3.17,2.31,3.25,9.97
F ,168484,586
I ,168494,3,3,1,3,0,3,1,3,-0.5092,0.4578,0.4588,0.5662,0.3227,-0.1219,0.0033,-0.9385,11.07,1.54,-3.15,3.31,2.1,11.27
F ,168494,575
L ,168494,106
I ,168554,3,3,1,3,0,3,1,3,-0.5177,0.4613,0.4717,0.5446,0.324,-0.1282,-0.0073,-0.9372,9.1,-0.2,0.99,2.14,-0.76,9.3
F ,168554,548
L ,168554,107
I ,168605,3,3,1,3,0,3,1,3,-0.515,0.4609,0.1003,-0.3566,-2.0974,-2.9932,-1.6628,-2.1254,-163.85,-253.81,281.62,-227.86,-48.63,-204.8
F ,168611,544
L ,168611,107
F ,168617,542
L ,168617,107
I ,168634,3,3,1,3,0,3,1,3,-0.5092,0.4856,0.4785,0.5251,0.324,-0.1372,-0.0119,-0.9359,10.27,-2.78,0.6,1.75,-0.18,7.32
F ,168634,537
L ,168635,107
F ,168637,535
L ,168637,107
I ,168644,3,3,1,3,0,3,1,3,-0.5074,0.4887,0.4801,0.5225,0.3239,-0.1373,-0.0124,-0.9359,6.23,-1.71,2.4,0.37,-1.57,5.88
I ,168672,3,3,1,3,0,3,1,3,-0.5018,0.4976,0.4869,0.5131,0.3236,-0.138,-0.0128,-0.9359,6.59,-1.77,0.0,6.58,-48.64,274.02
I ,168735,3,3,1,3,0,3,1,3,-0.4916,0.5125,0.5,0.4956,0.3227,-0.1393,-0.0133,-0.936,11.02,-1.97,-2.5,2.54,-0.99,9.59
F ,168735,448
L ,168735,107
I ,168744,3,3,1,3,0,3,1,3,-0.4896,0.5149,0.5015,0.4935,0.3227,-0.1393,-0.0133,-0.936,9.78,-1.3,-1.37,2.66,-0.64,9.56
F ,168744,432
L ,168745,107
I ,168755,3,3,1,3,0,3,1,3,-0.4877,0.5172,0.5029,0.4914,0.3223,-0.14,-0.0133,-0.936,9.75,-1.37,-2.57,2.27,-0.23,9.05
F ,168755,410
L ,168755,107
F ,168757,414
L ,168757,107
I ,168762,3,3,1,3,0,3,1,3,-0.486,0.5194,0.5041,0.4896,0.3223,-0.14,-0.0133,-0.936,9.6,-0.12,-1.6,2.5,-0.8,9.46
F ,168767,398
L ,168767,107
I ,168772,3,3,1,3,0,3,1,3,-0.4838,0.522,0.5049,0.4882,0.3222,-0.1406,-0.0131,-0.936,9.53,-0.28,-1.49,2.35,-0.61,9.18
I ,168784,3,3,1,3,0,3,1,3,-0.4812,0.525,0.5053,0.4872,0.322,-0.1412,-0.0128,-0.936,10.44,-1.63,-2.42,2.67,-0.98,9.3
F ,168784,355
L ,168784,107
I ,168794,3,3,1,3,0,3,1,3,-0.4783,0.5281,0.5053,0.4866,0.3218,-0.1419,-0.0123,-0.9359,10.4,-2.27,-2.25,2.42,-0.92,9.15
F ,168794,347
L ,168794,107
L ,168797,107
I ,168805,3,3,1,3,0,3,1,3,-0.4755,0.5311,0.5052,0.4863,0.3217,-0.1427,-0.012,-0.9359,9.82,-2.59,-1.6,2.81,-0.81,9.5
F ,168805,301
I ,168811,3,3,1,3,0,3,1,3,-0.4729,0.5338,0.5052,0.4859,0.3215,-0.1437,-0.0117,-0.9358,9.44,-2.29,-1.54,2.81,-0.81,9.5
F ,168812,294
L ,168812,107
I ,168822,3,3,1,3,0,3,1,3,-0.4703,0.5364,0.5052,0.4854,0.3214,-0.1445,-0.0115,-0.9357,9.13,-1.25,-0.4,2.74,-0.81,9.42
F ,168822,263
L ,168822,110
I ,168834,3,3,1,3,0,3,1,3,-0.4676,0.5393,0.5052,0.4849,0.3212,-0.1453,-0.0113,-0.9357,9.05,-1.7,-0.3,2.43,-1.04,8.98
F ,168834,251
L ,168834,113
I ,168844,3,3,1,3,0,3,1,3,-0.4648,0.5421,0.5054,0.4843,0.321,-0.1462,-0.0111,-0.9356,9.39,-2.35,-0.76,2.75,-0.99,9.73
F ,168844,231
L ,168844,116
L ,168905,130
F ,169134,32
I ,169144,3,3,1,3,0,3,1,3,-0.3739,0.6112,0.5347,0.4478,0.3128,-0.2174,-0.0216,-0.9243,9.43,-1.95,-0.74,3.74,-0.99,8.64
F ,169144,48
I ,169155,3,3,1,3,0,3,1,3,-0.3681,0.6143,0.5369,0.4457,0.312,0.0003,0.0259,-0.3619,61.77,53.91,44.36,31.09,-22.81,-2.64
F ,169162,45
L ,169162,158
M ,169162,873,248,873.0,248.0,323,700,1400,1539
I ,131331,242,175,24,140,21,89,17,6,0.3068,-0.2465,-0.0371,-0.9185,0.0002,-2.7414,0.0873,0.0248,8.73,2.48,9.23,1.0,15.32,-1.14
F ,169205,39
L ,169205,155
I ,169222,3,3,1,3,0,3,1,3,-0.3178,0.6395,0.5563,0.4246,0.3019,-0.2693,-0.0524,-0.9129,10.48,-1.76,-0.2,4.17,-0.98,8.52
F ,169222,48
L ,169222,145
M ,169222,873,249,873.0,249.0,923,100,1532,1400
I ,169234,3,3,1,3,0,3,1,3,-0.3098,0.6431,0.5602,0.4201,0.3002,-0.2784,-0.0582,-0.9104,10.85,-1.44,0.02,4.55,-0.8,8.51
F ,169234,46
L ,169234,135
M ,169234,873,248,873.0,248.0,923,62523,6468,5642
I ,169255,3,3,1,3,0,3,1,3,-0.2926,0.6506,0.5684,0.4097,0.2968,2.3293,1.5836,-2.1244,74.23,-25.6,299.54,112.63,-289.25,-299.42
L ,169255,113
F ,169261,42
L ,169261,107
M ,169261,873,248,873.0,248.0,923,100,1532,1400
I ,169272,3,3,1,3,0,3,1,3,-0.2745,0.6572,0.5789,0.3967,0.2935,-0.3201,-0.0844,-0.8967,10.13,-0.62,1.76,5.59,-0.33,8.07
F ,169272,53
L ,169272,107
M ,169272,874,248,874.0,248.0,923,100,1531,1400
I ,169284,3,3,1,3,0,3,1,3,-0.2633,0.6619,0.5831,0.3904,0.2919,-0.3318,-0.091,-0.8923,11.09,-0.75,0.77,5.94,-0.87,8.77
I ,169305,3,3,1,3,0,3,1,3,-0.2382,0.6716,0.5914,0.3771,0.2888,-0.3599,-0.1033,-0.8811,15.96,1.75,-1.67,8.73,2.48,8.73
L ,169311,106
M ,169311,873,248,873.0,248.0,923,100,1532,1400
I ,169322,3,3,1,3,0,3,1,3,-0.2112,0.6809,0.598,0.3661,0.2814,-0.4006,-0.1133,-0.8645,11.85,2.27,1.91,7.63,-2.56,6.61
M ,169322,873,249,873.0,249.0,923,100,1532,1400
I ,169344,3,3,1,3,0,3,1,3,-0.1819,0.6915,0.6034,0.3529,0.2663,-0.4516,-0.1218,-0.8427,14.68,0.6,-7.68,6.61,-327.65,268.8
I ,169355,3,3,1,3,0,3,1,3,-0.1664,0.6971,0.6049,0.3469,0.2555,-0.4807,-0.1271,-0.8291,13.47,1.79,-7.38,11.64,0.7,18.3
F ,169355,39
L ,169355,106
M ,169355,873,63491,26880.0,-2045.0,39680,25605,64517,30730
I ,169362,3,3,1,3,0,3,1,3,-0.1508,0.7024,0.6055,0.3421,0.2434,-0.5102,-0.1345,-0.8138,13.47,1.79,-7.38,11.64,0.7,18.3
F ,169362,37
M ,169362,873,248,873.0,248.0,769,1018,45339,41751
I ,169405,2,3,1,3,0,3,1,3,-0.0998,0.742,2.8956,1.1799,-2.3796,-2.2522,-1.5129,-0.0007,-302.38,-235.49,117.76,10.18,-168.97,23.04
F ,169411,10
M ,169422,873,248,873.0,248.0,923,100,1532,1400
I ,169434,1,3,1,3,0,3,1,3,-0.0778,0.7258,0.6029,0.3219,0.1457,-0.6271,-0.171,-0.7457,5.26,4.53,-7.78,1.21,-9.47,15.75
F ,169434,50
L ,169434,107
I ,169454,1,3,1,3,0,3,1,3,-0.0669,0.7304,0.7315,0.5923,0.3315,0.1278,-0.6146,-0.1801,-75.72,2.79,1.28,-7.8,0.23,-5.42
F ,169461,50
L ,169461,107
I ,169472,0,3,1,3,0,3,1,3,-0.0614,0.7332,0.5883,0.3353,0.1262,-0.6075,-0.1828,-0.7625,4.0,0.89,-9.05,-2.75,-3.6,5.57
F ,169472,51
L ,169472,106
I ,169484,0,3,1,3,0,3,1,3,-0.0622,0.7342,0.5845,0.3394,0.1257,-0.6005,-0.1837,-0.7679,5.03,1.45,-9.76,-0.87,-3.53,8.46
F ,169484,49
L ,169484,107
I ,169494,0,3,1,3,0,3,1,3,-0.065,0.7345,0.5808,0.3446,0.1257,-0.5937,-0.1821,-0.7736,6.01,3.13,-10.01,0.54,-2.33,10.43
F ,169494,53
L ,169494,107
I ,169504,0,3,1,3,0,3,1,3,-0.0687,0.7343,0.577,0.3505,0.1265,-0.5868,-0.1782,-0.7796,5.53,3.03,-9.65,-0.18,-2.1,9.94
F ,169504,52
L ,169505,107
F ,169511,51
L ,169511,107
I ,169522,0,3,1,3,0,3,1,3,-0.0784,0.7324,0.568,0.367,0.1314,0.0003,0.0259,0.0003,2.56,-8.47,73.08,56.28,37.65,13.55
I ,169555,0,3,1,3,0,3,1,0,-0.1027,0.7264,0.5516,0.3966,0.1457,-0.5305,-0.1436,-0.8225,3.22,2.3,-7.36,0.02,-270.53,0.5
L ,169555,106
I ,169571,0,3,1,3,0,3,1,0,-0.1266,0.72,0.54,0.4168,0.1536,-0.4957,-0.1285,-0.845,5.11,1.71,-10.24,6.62,286.72,7.69
I ,169611,0,3,1,3,0,3,1,0,-0.1828,0.6986,0.51,0.4672,0.151,-0.4158,-0.098,-0.8914,1.36,4.57,-6.98,8.97,4.44,12.81
F ,169611,51
L ,169611,108
I ,169621,0,3,1,3,0,3,1,0,-0.1953,0.6923,0.4995,0.4826,0.1473,-0.3925,-0.0902,-0.9033,2.52,4.96,-8.34,8.73,4.42,12.4
F ,169621,52
L ,169621,107
I ,169634,0,3,1,3,0,3,1,0,-0.207,0.6859,0.4875,0.4988,0.1427,-0.3684,-0.0822,-0.9149,6.09,3.92,-9.06,9.78,4.23,10.47
F ,169634,53
L ,169634,107
I ,169644,0,3,1,3,0,3,1,0,-0.2183,0.6787,0.4738,0.5167,0.1369,-0.3436,-0.0734,-0.9261,3.45,2.79,-7.44,9.89,3.29,10.13
L ,169645,107
I ,169655,0,3,1,3,0,3,1,0,-0.2297,0.6712,0.459,0.5346,0.13,-0.3187,-0.0639,-0.9367,4.32,1.87,-7.59,10.5,1.5,10.94
F ,169655,50
L ,169655,107
I ,169661,0,3,1,3,0,3,1,0,-0.2418,0.6633,0.4434,0.5521,0.1222,-0.294,-0.0535,-0.9464,4.32,1.87,-7.59,10.5,1.5,10.94
F ,169661,49
L ,169661,107
F ,169685,47
L ,169685,107
I ,169705,0,3,1,3,0,3,1,0,-0.3028,0.6235,0.3853,0.6091,0.0951,-0.1995,-0.0116,-0.9751,7.92,2.46,-3.95,9.68,-4.36,13.43
F ,186811,792
I ,169721,0,3,1,3,0,3,1,0,-0.3368,0.5989,0.359,0.6315,0.0942,-0.1563,0.0138,-0.983,8.59,1.25,-4.15,12.9,-4.75,17.51
F ,169721,48
L ,169721,107
F ,169727,43
L ,169727,107
F ,169745,47
L ,169745,108
I ,169755,0,3,1,3,0,3,1,0,-0.3826,0.5588,0.3191,0.6629,0.1127,-0.0928,0.0538,-0.9877,10.35,-3.16,-4.55,13.42,3.13,16.79
F ,169755,47
L ,169755,107
I ,169785,0,3,1,3,0,3,1,0,-0.4244,0.5374,-1.0493,1.7625,3.0211,2.5599,-2.3296,-2.4059,-117.74,-312.29,309.76,-189.42,105.01,-74.22
F ,169795,10
F ,169805,46
L ,169805,107
I ,169811,0,3,1,3,0,3,1,0,-0.4612,0.4724,0.264,0.703,0.1453,0.0254,0.1052,-0.9834,6.32,1.39,8.1,17.98,9.6,2.05
F ,169811,47
L ,169811,107
I ,169821,0,3,1,3,0,3,1,0,-0.4686,0.4633,0.2557,0.7072,0.1462,0.0393,0.1149,-0.9817,5.21,0.51,12.5,19.86,11.63,-2.0
F ,169821,48
L ,169821,107
I ,169835,0,3,1,3,0,3,1,0,-0.4716,0.4589,0.2468,0.7113,0.1474,0.0504,0.127,-0.9795,2.59,-4.36,8.8,19.93,11.34,-9.36
F ,169835,54
L ,169835,107
I ,169845,0,3,1,3,0,3,1,0,-0.4708,0.4585,0.2385,0.7149,0.1485,0.0575,0.138,-0.9775,2.76,-4.32,5.4,16.0,8.71,-6.8
F ,169845,51
L ,169845,107
I ,169855,0,3,1,3,0,3,1,0,-0.468,0.4608,0.2324,0.7172,0.148,0.0605,0.1442,-0.9765,4.09,-4.92,2.5,14.68,8.38,-2.8
F ,169855,49
L ,218473730,20485
F ,169861,50
I ,169885,0,3,1,3,0,3,1,0,-0.4588,0.4724,0.2311,0.7161,0.1278,0.0481,0.1295,-0.9821,7.9,0.37,-5.21,12.82,1.76,8.06
F ,169885,54
L ,169885,106
I ,169895,0,3,1,3,0,3,1,0,-0.457,0.4749,0.2349,0.7143,0.1173,0.0414,0.1234,-0.9844,6.96,3.16,-4.07,11.39,-1.22,7.63
F ,169895,49
L ,169895,107
I ,169905,0,3,1,3,0,3,1,0,-0.4551,0.4779,0.2388,0.7122,0.1071,0.0357,0.1206,-0.9862,7.42,5.01,-4.32,10.35,-4.34,7.34
F ,169905,44
L ,169905,107
I ,169911,0,3,1,3,0,3,1,0,-0.4521,0.4825,0.2415,0.7102,0.0979,0.0307,0.1199,-0.9874,7.42,5.01,-4.32,10.35,-4.34,7.34
F ,169911,52
L ,169911,107
F ,169917,45
L ,169917,107
I ,169921,0,3,1,3,0,3,1,0,-0.4476,0.4891,0.2418,0.7084,0.0902,0.0263,0.1199,-0.9883,8.38,2.82,-4.98,1.37,-9.15,7.92
F ,169927,62
L ,169927,107
I ,169935,0,3,1,3,0,3,1,0,-0.4415,0.4973,0.2398,0.7072,0.0844,0.0216,0.1169,-0.9893,12.0,-2.01,-4.73,-1.88,-3.94,14.73
I ,169945,0,3,1,3,0,3,1,0,-0.4352,0.5059,0.2359,0.7062,0.0789,0.0145,0.109,-0.9907,15.0,-2.75,-2.26,-6.8,-6.78,11.52
F ,169945,202
L ,169945,106
F ,169947,217
L ,169947,108
I ,169955,0,3,1,3,0,3,1,0,-0.4301,0.5131,0.2316,0.7056,0.0717,0.0086,0.0986,-0.9924,14.02,-2.52,0.83,-12.35,-3.63,-2.25
I ,169961,0,3,1,3,0,3,1,0,-0.427,0.5178,0.2265,0.7058,0.0638,0.0017,0.0834,-0.9944,14.02,-2.52,0.83,-12.35,-3.63,-2.25
F ,169961,328
L ,169961,107
I ,169971,0,3,1,3,0,3,1,0,-0.4251,0.5208,0.2225,0.7059,0.0599,-0.007,0.0728,-0.9955,13.4,-1.9,6.07,3.78,-7.48,5.88
F ,169971,398
L ,169971,108
I ,169985,0,3,1,3,0,3,1,0,-0.4235,0.5229,0.2203,0.7061,0.0612,-0.0184,0.0668,-0.9957,12.38,-3.96,6.46,1.61,-3.38,11.5
F ,169985,463
L ,169985,107
I ,169995,0,3,1,3,0,3,1,0,-0.4216,0.5253,0.2208,0.7052,0.0654,-0.0313,0.0649,-0.9952,13.26,-3.75,4.59,8.56,11.15,18.46
F ,169995,495
L ,169995,107
I ,170005,0,3,1,3,0,3,1,0,-0.4212,0.5273,0.2239,0.703,0.0681,-0.0452,0.0611,-0.9947,11.85,-6.98,5.01,6.5,3.95,13.26
F ,170005,512
L ,170005,107
F ,170027,530
L ,170027,107
I ,170035,0,3,1,3,0,3,1,0,-0.4344,0.5239,0.2506,0.6883,0.0678,-0.0798,0.0533,-0.993,10.28,0.93,3.5,6.84,-5.07,17.52
I ,170045,0,3,1,3,0,3,1,0,-0.4388,0.5231,0.2611,0.6822,0.0687,-0.0892,0.0526,-0.9922,12.3,3.04,-1.32,8.84,-2.73,15.22
F ,170045,533
L ,170045,107
I ,170054,0,3,1,3,0,3,1,0,-0.4409,0.5247,0.2686,0.6768,0.0696,-0.0984,0.0498,-0.9914,10.1,-3.84,-1.28,4.65,-1.07,12.22
F ,170055,532
L ,170055,107
I ,170061,0,3,1,3,0,3,1,0,-0.4421,0.5273,0.2729,0.6722,0.0705,-0.1052,0.0473,-0.9907,10.1,-3.84,-1.28,4.65,-1.07,12.22
F ,170061,535
L ,170061,107
I ,170071,0,3,1,3,0,3,1,0,-0.4427,0.5307,0.2763,0.6677,0.0711,-0.1104,0.0446,-0.9903,8.56,-4.78,-2.24,3.41,1.65,10.68
F ,170071,540
L ,170071,107
I ,170085,0,3,1,3,0,3,1,0,-0.4426,0.5339,0.2792,0.664,0.0713,-0.1148,0.0429,-0.9898,6.32,-2.29,1.25,3.01,-0.95,10.42
F ,170085,543
L ,170085,107
I ,170095,0,3,1,3,0,3,1,0,-0.442,0.5377,0.2822,0.6601,0.0714,-0.1179,0.0417,-0.9895,10.81,-2.45,-0.5,1.51,-1.39,8.43
F ,170095,544
L ,170095,107
I ,170111,0,3,1,3,0,3,1,0,-0.4401,0.5461,0.2875,0.6521,0.0717,-0.1232,0.0397,-0.9889,9.8,-3.18,0.88,64.81,7.16,-12.48
F ,170145,532
L ,170145,106
I ,170155,0,3,1,3,0,3,1,0,-0.4396,0.5586,0.301,0.6355,0.0714,-0.1294,0.0369,-0.9882,11.14,-2.05,-3.31,7.84,0.31,16.46
F ,170155,530
L ,170155,107
I ,170161,0,3,1,3,0,3,1,0,-0.4391,0.5623,0.3041,0.6311,0.0715,-0.1321,0.0371,-0.9879,11.14,-2.05,-3.31,7.84,0.31,16.46
F ,170161,522
L ,170161,107
I ,170171,0,3,1,3,0,3,1,0,-0.4379,0.5657,0.3052,0.6284,0.0712,-0.132,0.0364,-0.9879,12.48,-1.29,-3.75,0.23,-0.31,4.65
F ,170171,512
L ,170171,107
F ,170177,507
L ,170177,107
I ,170185,0,3,1,3,0,3,1,0,-0.4362,0.5695,0.3059,0.6258,0.071,-0.1327,0.0364,-0.9879,12.89,-3.22,-4.71,4.96,-0.75,12.6
F ,170187,493
L ,170187,107
I ,170195,0,3,1,3,0,3,1,0,-0.4341,0.5738,0.3067,0.6229,0.0709,-0.1342,0.0371,-0.9877,13.38,-3.15,-3.38,3.52,-1.36,10.61
L ,170197,108
I ,170205,0,3,1,3,0,3,1,0,-0.432,0.577,0.3063,0.6215,0.0708,-0.1345,0.0372,-0.9876,3.72,-1.73,1.61,3.49,-0.77,10.15
F ,170205,476
I ,170211,0,3,1,3,0,3,1,0,-0.4301,0.5801,0.3062,0.6202,0.0707,-0.1349,0.0372,-0.9876,3.72,-1.73,1.61,3.49,-0.77,10.15
F ,170211,470
L ,170211,107
I ,170221,0,3,1,3,0,3,1,0,-0.4284,0.5834,0.3068,0.6179,0.0705,-0.1346,0.037,-0.9876,6.44,-2.0,1.03,1.25,-1.6,7.34
F ,170221,456
L ,170221,107
I ,170235,0,3,1,3,0,3,1,0,-0.4264,0.5874,0.3078,0.615,0.0704,-0.1351,0.0371,-0.9876,13.78,-2.58,-2.25,1.87,-1.26,8.69
F ,170235,434
L ,170235,107
I ,170245,0,3,1,3,0,3,1,0,-0.4243,0.5905,0.3079,0.6134,0.0702,-0.1353,0.0372,-0.9876,6.59,-2.17,1.74,2.97,-1.03,9.52
F ,170245,422
L ,170245,107
I ,170254,0,3,1,3,0,3,1,0,-0.4219,0.5936,0.3074,0.6123,0.0701,-0.1359,0.0374,-0.9875,8.44,-2.89,-0.8,2.99,-1.11,9.77
F ,170254,406
L ,170254,106
I ,170261,0,3,1,3,0,3,1,0,-0.4191,0.5974,0.307,0.6108,0.0699,-0.1365,0.0374,-0.9874,8.44,-2.89,-0.8,2.99,-1.11,9.77
F ,170261,403
L ,170261,106
I ,170271,0,3,1,3,0,3,1,0,-0.416,0.6011,0.3063,0.6096,0.0697,-0.137,0.0376,-0.9873,9.64,-2.89,0.36,2.26,-0.67,8.8
F ,170271,391
L ,170271,107
I ,170285,0,3,1,3,0,3,1,0,-0.4129,0.6051,0.3059,0.608,0.0695,-0.1376,0.0378,-0.9873,9.77,-2.85,-0.43,2.32,-1.23,8.92
F ,170285,387
L ,170285,106
I ,170294,0,3,1,3,0,3,1,0,-0.4099,0.6088,0.3055,0.6065,0.0693,-0.138,0.0378,-0.9872,9.73,-2.09,-0.8,2.78,-0.86,9.52
F ,170294,379
L ,170294,107
I ,170305,0,3,1,3,0,3,1,0,-0.407,0.6123,0.3052,0.6051,0.0691,-0.1386,0.0378,-0.9871,9.43,-1.73,-0.94,2.47,-0.67,9.22
F ,170305,353
L ,170305,107
I ,170311,0,3,1,3,0,3,1,0,-0.4041,0.6157,0.3049,0.6036,0.0689,-0.1392,0.0379,-0.9871,9.43,-1.73,-0.94,2.47,-0.67,9.22
F ,170311,346
L ,170311,107
