Startup received!

I ,time,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,97977 | Motors started.
I ,98723,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.7,-1.1,2.51,-0.51,9.42
F ,98723,275
L ,98723,107
F ,98727,273
I ,98743,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.71,-0.72,-1.05,2.49,-0.55,9.4
F ,98743,277
I ,98752,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.72,-1.02,2.5,-0.51,9.4
F ,98752,276
L ,98752,106
F ,98757,272
L ,98757,106
I ,98763,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.7,-1.05,2.5,-0.51,9.39
I ,98773,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.04,2.5,-0.55,9.42
F ,98773,275
L ,98773,106
I ,98802,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4137,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.69,-1.08,2.49,-0.54,9.42
F ,98802,274
L ,98802,107
M ,98802,873,248,873.0,248.0,323,700,1400,1600
I ,98833,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4137,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.67,-1.11,2.5,-0.52,9.43
F ,98833,275
L ,98833,107
M ,98833,873,248,873.0,248.0,323,700,1400,1600
I ,98843,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4137,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.66,-1.09,2.5,-0.54,9.42
F ,98843,275
L ,98843,107
M ,98843,873,248,873.0,248.0,323,700,1400,1600
F ,98852,274
M ,98873,873,248,873.0,248.0,323,700,1400,1600
L ,98887,107
I ,98893,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4137,0.5794,-0.789,-0.0601,0.0012,-0.868,145.75,-104.74,-238.39,120.29,-227.8,-135.92
F ,98902,274
L ,98902,107
M ,98902,873,248,873.0,248.0,323,700,1400,1600
I ,98913,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4137,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.64,-1.08,2.5,-0.52,9.38
F ,98913,273
I ,98923,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4137,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.66,-1.05,2.51,-0.54,9.39
F ,98923,274
L ,98923,107
M ,98923,873,248,873.0,248.0,323,700,1400,1600
I ,98933,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4137,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.67,-1.04,2.5,-0.52,9.39
F ,98933,274
L ,98933,106
M ,98933,873,247,873.0,247.0,323,700,1400,1600
I ,98943,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4137,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.09,2.5,-0.51,9.42
F ,65537,33427
F ,98967,2633
I ,99002,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4137,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.07,2.52,-0.52,9.42
F ,99002,272
L ,99023,107
M ,99023,873,248,873.0,248.0,323,700,1400,1600
I ,99043,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4137,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.63,-1.12,2.5,-0.52,9.42
F ,99043,273
M ,99083,873,248,873.0,248.0,323,700,1400,1600
