Startup received!

I ,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,32373 | Motors started.
F ,33209,251
L ,33209,94
M ,33210,875,237,,,323,700,1400,1600
I ,0,3,0,2,0,3,1,2,0.0,0.5713,0.4505,0.5804,0.7523,0.1475,0.0,0.6299,9.31,1.16,0.0,4.17,0.25,8.93
F ,33220,257
L ,33220,95
M ,33220,875,237,,,18720,3,2,3
F ,33259,280
M ,33260,875,10,,,2,3,258,0
M ,33270,875,237,,,323,700,1400,1600
F ,33273,282
L ,33273,94
I ,0,3,0,2,0,3,1,2,0.0,0.5659,0.4495,0.5886,0.752,0.1491,0.0,0.6293,9.4,1.09,0.0,3.98,0.28,8.73
M ,33280,875,237,,,323,700,1400,1600
I ,0,3,0,2,0,3,1,2,0.0,0.5651,0.4492,0.5899,0.752,0.1494,0.0,0.6292,9.4,1.09,0.0,4.03,0.27,8.85
F ,33288,308
L ,33288,2633
F ,33298,315
L ,33298,94
M ,33300,875,237,,,323,700,1400,1600
I ,0,3,0,2,0,3,1,0,0.013,0.7424,2.4074,1.9744,0.0,3.331,0.0875,0.0237,8.98,99.84,243.3,197.44,0.0,333.2
I ,0,3,0,2,0,3,1,2,0.0,0.5617,0.449,0.5888,2.433,1.9744,0.0,3.3331,8.75,2.37,8.75,2.37,3.23,7.0
I ,0,3,0,2,0,3,1,2,0.0,0.5609,0.4489,0.595,0.7521,0.1516,0.0,0.6287,9.55,1.51,0.0,3.84,0.72,8.77
F ,33338,353
L ,33338,95
M ,33340,1005,875,,,700,1400,1600,2633
F ,33359,356
L ,33359,94
M ,33360,875,237,,,323,700,1290,18720
L ,33413,94
F ,33419,414
M ,33420,875,237,,,323,700,1400,1600
M ,33430,778,18720,,,3,258,0,5565
I ,1,3,0,2,0,3,1,2,0.0,0.5567,0.4397,0.6094,0.7521,0.1508,0.0,0.6286,9.35,1.9,0.0,468.48,442.88,0.01
F ,33469,60445
I ,1,3,0,2,0,3,1,2,0.0,0.5581,0.4321,0.6163,0.752,0.1491,0.0,0.629,9.3,1.79,0.0,3.91,0.54,8.8
F ,33509,478
L ,33509,94
M ,365957326,6177,7520,,,6290,943,200,0
F ,33519,479
I ,1,3,0,2,0,3,1,2,0.0,0.5588,0.4282,0.6192,0.752,0.1481,0.0,0.6292,9.27,2.06,0.0,3.61,0.4,8.43
F ,33530,493
L ,33530,2633
I ,2,3,0,2,0,3,1,2,0.0,0.5607,0.423,0.6235,0.752,0.1467,0.0,0.6295,9.75,1.76,0.0,3.97,0.23,8.96
F ,33559,500
L ,33546,18720
I ,2,3,0,2,0,3,1,2,0.0,0.5621,0.4183,0.6154,1.872,0.0515,0.0002,0.0003,2.58,0.0,56.28,41.27,63.06,75.18
I ,2,3,0,2,0,3,1,2,0.0,0.5631,0.4099,0.6325,0.7518,0.1426,0.0,0.6304,8.94,1.28,0.0,3.77,0.1,187.2
F ,33630,533
L ,33630,94
I ,2,3,0,2,0,3,1,2,0.0,0.5632,0.4018,0.6281,0.0,0.6307,0.0964,0.0127,0.0,4.67,0.31,9.9,26.3,81.92
L ,33638,94
I ,2,3,0,2,0,3,1,2,0.0,0.5631,0.399,0.6396,0.8707,1.6394,1.7952,0.0,336.49,5.32,26.36,81.92,1.31,289.28
I ,2,3,0,2,0,3,1,2,0.0,0.5631,0.3961,0.6414,0.7517,0.1408,0.0,0.6309,9.14,0.56,0.0,336.69,0.94,26.33
F ,33680,542
L ,33680,94
L ,33683,95
I ,2,3,0,2,0,3,1,2,0.0,0.5622,0.3874,0.647,0.7517,0.1401,0.0,0.631,9.88,0.66,0.0,3.21,0.01,8.22
F ,33689,540
I ,2,3,0,2,0,3,1,2,0.0,0.5614,0.3851,0.6487,0.7517,0.1398,0.0,0.6311,9.1,1.35,0.23,4.98,0.0,10.18
F ,33699,547
L ,33699,94
I ,2,3,0,2,0,3,1,2,0.0,0.5605,0.3827,0.6503,0.7517,0.1399,0.0,0.6311,8.9,0.62,0.2,2.99,0.05,8.32
F ,33709,551
L ,33709,93
I ,2,3,0,2,0,3,1,2,0.0,0.5592,0.3804,0.652,0.7517,0.1397,0.0,0.6311,9.21,1.57,0.0,4.26,0.1,9.35
F ,33719,554
L ,33719,94
I ,2,3,0,2,0,3,1,2,0.0,0.5579,0.3781,0.6538,0.7517,0.1397,0.0,0.6311,9.28,1.13,0.58,3.42,0.25,8.31
F ,33730,559
L ,33730,94
