I ,67331,3,3,0,3,1,3,1,3,0.0727,0.9258,-0.208,0.307,0.3056,0.476,-0.2174,0.7954,19.94,-0.44,-10.81,9.3,-1.29,15.44
F ,67331,71
L ,67331,106
F ,67337,66
L ,67337,106
I ,67341,3,3,0,3,0,3,1,3,0.0769,0.9295,-0.2089,0.294,0.2993,0.5089,-0.2268,0.7745,16.37,-1.25,-11.59,11.98,-1.75,17.7
I ,67354,3,3,0,3,0,3,1,3,0.0799,0.9329,-0.2094,0.2817,0.2937,0.5393,-0.2341,0.7536,10.56,-0.07,-8.89,8.84,-1.32,19.28
F ,67354,68
L ,67354,106
I ,67364,3,3,0,3,0,3,1,3,0.0817,0.9358,-0.2094,0.2713,0.2893,0.566,-0.2407,0.7333,9.9,-0.72,-12.21,-1.67,0.46,11.43
F ,67364,52
L ,67364,107
I ,67374,3,3,0,3,0,3,1,3,0.0827,0.9381,-0.2091,0.2632,0.2878,0.5864,-0.2466,0.7158,8.09,0.1,-10.1,-1.67,0.46,11.43
F ,67374,52
L ,67374,107
I ,67381,3,3,0,3,0,3,1,3,0.0825,0.9409,-0.2051,0.2564,0.2892,0.6033,-0.2539,0.6984,7.84,1.17,-12.76,-1.87,-3.32,5.67
F ,67381,52
L ,67381,106
I ,67391,3,3,0,3,0,3,1,3,0.084,0.9423,-0.2051,0.2504,0.2906,0.6204,-0.2636,0.679,8.14,2.91,-13.55,16.44,-3.86,36.06
F ,67391,52
L ,67391,106
I ,67404,3,3,0,3,0,3,1,3,0.0872,0.9431,-0.2058,0.2457,0.2946,0.6256,-0.2673,0.671,6.28,3.25,-11.57,2.54,-4.86,18.6
F ,67404,55
L ,67404,106
F ,67407,52
L ,67407,106
I ,67414,3,3,0,3,0,3,1,3,0.0922,0.9434,-0.2075,0.2414,0.3002,0.6229,-0.2663,0.6715,5.55,2.75,-9.09,-0.88,-2.06,11.68
I ,67423,3,3,0,3,0,3,1,3,0.098,0.9431,-0.2097,0.2385,0.3059,0.6167,-0.2628,0.676,7.07,0.57,-10.48,-0.88,-2.06,11.68
F ,67423,61
L ,67423,106
I ,67431,3,3,0,3,0,3,1,3,0.1032,0.9423,-0.2109,0.2385,0.3113,0.6099,-0.2583,0.6813,5.19,-0.25,-7.4,1.63,0.4,9.06
F ,67431,59
L ,67431,106
I ,67441,3,3,0,3,0,3,1,3,0.1072,0.9409,-0.213,0.2402,0.3167,0.6029,-0.2526,0.6871,3.77,0.0,-7.71,-3.26,2.88,2.89
F ,67441,56
L ,67441,106
I ,67454,3,3,0,3,0,3,1,3,0.1105,0.9392,-0.215,0.2437,0.3228,0.596,-0.2471,0.6923,5.05,0.69,-8.3,0.62,3.19,7.59
F ,67454,54
L ,67454,106
I ,67464,3,3,0,3,0,3,1,3,0.1146,0.9368,-0.2169,0.249,0.33,0.5885,-0.2419,0.6972,3.77,1.44,-5.96,0.8,1.0,9.34
F ,67464,54
L ,67464,106
I ,67474,3,3,0,3,0,3,1,3,0.1194,0.9341,-0.2189,0.2551,0.3383,0.5798,-0.2365,0.7023,5.25,1.54,-7.96,0.8,1.0,9.34
F ,67474,49
L ,67474,107
I ,67481,3,3,0,3,0,3,1,3,0.1251,0.9308,-0.2207,0.2629,0.3475,0.5704,-0.2311,0.7073,4.82,1.99,-8.43,2.28,-0.02,11.22
F ,67481,45
L ,67481,107
I ,67491,3,3,0,3,0,3,1,3,0.1317,0.927,-0.2227,0.2714,0.357,0.5598,-0.2251,0.713,4.23,2.05,-7.46,3.31,-0.43,12.27
F ,67491,40
L ,67491,118
I ,67504,3,3,0,3,0,3,1,3,0.1389,0.9224,-0.2251,0.2811,0.3666,0.5472,-0.218,0.72,4.61,1.77,-8.18,-0.28,-1.24,4.84
F ,67504,50
L ,67504,138
I ,67514,3,3,0,3,0,3,1,3,0.1463,0.9173,-0.2276,0.2919,0.3762,0.5324,-0.2095,0.7286,4.92,1.22,-7.53,0.15,-0.47,4.65
F ,67514,55
L ,67514,142
L ,67517,143
I ,67524,3,3,0,3,0,3,1,3,0.1535,0.9115,-0.23,0.3043,0.3854,0.517,-0.2014,0.7372,9.59,1.39,-11.57,0.15,-0.47,4.65
F ,67524,59
I ,67531,3,3,0,3,0,3,1,3,0.1606,0.9047,-0.2319,0.3189,0.3936,0.5022,-0.1947,0.7448,4.44,1.55,-5.4,0.97,-0.07,3.73
F ,67531,58
L ,67531,149
I ,67542,3,3,0,3,0,3,1,3,0.1669,0.8977,-0.2337,0.3339,0.4011,0.488,-0.1895,0.7516,4.19,1.38,-8.11,4.69,0.57,7.3
F ,67542,63
L ,67542,153
I ,67554,3,3,0,3,0,3,1,3,0.1728,0.89,-0.2352,0.3502,0.4089,0.4724,-0.1845,0.7586,3.75,1.15,-8.25,6.61,-1.46,11.06
F ,67554,64
L ,67554,159
I ,67564,3,3,0,3,0,3,1,3,0.1782,0.8816,-0.2365,0.3673,0.4167,0.4556,-0.1798,0.7657,3.74,1.14,-7.94,6.71,-2.01,11.09
F ,67564,66
L ,67564,163
I ,67574,3,3,0,3,0,3,1,3,0.183,0.8726,-0.2376,0.3851,0.4241,0.4374,-0.1751,0.7733,5.61,1.15,-8.21,6.71,-2.01,11.09
F ,67574,67
L ,67574,164
