Startup received!

I ,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,14863 | Motors started.
I ,3,3,0,2,0,3,1,2,0.1718,0.6653,-0.0274,0.7259,0.9829,0.075,-0.1034,0.1319,8.67,2.26,0.51,4.32,2.58,7.71
F ,15419,0
L ,15419,107
F ,15423,0
L ,15423,107
I ,3,3,0,2,0,3,1,2,0.1726,0.668,-0.0291,0.7232,0.983,0.0735,-0.1058,0.1304,8.69,2.35,0.41,4.34,2.52,7.9
I ,3,3,0,2,0,3,1,2,0.173,0.6703,-0.0313,0.7208,0.983,0.0718,-0.1085,0.1286,8.93,2.35,0.41,4.44,2.3,8.22
F ,15439,0
L ,15439,107
I ,3,3,0,2,0,3,1,2,0.1735,0.6727,-0.0337,0.7184,0.9832,0.0698,-0.1113,0.1267,8.84,2.34,0.43,4.32,1.86,8.64
F ,15451,22
L ,15451,107
I ,3,3,0,2,0,3,1,2,0.1743,0.6752,-0.0361,0.7158,0.9832,0.0677,-0.1141,0.1247,8.61,2.31,0.38,4.13,1.78,8.5
F ,15459,29
L ,15459,107
I ,3,3,0,2,0,3,1,2,0.1755,0.6781,-0.038,0.7127,0.9832,0.0656,-0.117,0.1228,8.69,2.29,0.38,4.05,1.75,8.59
F ,15469,0
L ,15469,107
I ,3,3,0,2,0,3,1,2,0.1768,0.6809,-0.0401,0.7095,0.9832,0.0639,-0.1199,0.1209,8.84,2.19,0.46,4.03,1.71,8.6
F ,15479,160
L ,15479,106
I ,3,3,0,2,0,3,1,2,0.1782,0.6837,-0.0426,0.7063,0.9832,0.0623,-0.1231,0.119,8.89,1.98,0.4,4.15,1.87,9.19
F ,15489,0
L ,15489,106
I ,3,3,0,2,0,3,1,2,0.179,0.6865,-0.0449,0.7032,0.9831,0.0612,-0.126,0.1171,8.97,1.84,0.28,3.32,1.92,8.47
F ,15500,191
L ,15500,107
I ,3,3,0,2,0,3,1,2,0.1797,0.6895,-0.0469,0.7,0.983,0.0603,-0.1292,0.1152,9.47,1.75,-0.15,4.25,1.94,9.75
F ,15510,56
L ,15510,107
I ,3,3,0,2,0,3,1,2,0.1802,0.6924,-0.0488,0.6968,0.9829,0.0597,-0.1322,0.1133,8.81,2.14,0.21,4.19,2.03,9.75
